---,Description,Priority,Height,Gender
Office_Extra_M_001,"","0","BaseBody_M_S","M"
Drama_Extra_M_001,"","0","BaseBody_M_T","M"
Drama_Extra_F_003,"","0","BaseBody_F_S","F"
Drama_Extra_F_001,"","0","BaseBody_F_T","F"
School_Extra_F_002,"","0","BaseBody_F_S","F"
Drama_Extra_M_006,"","0","BaseBody_M_T","M"
School_Extra_F_001,"","0","BaseBody_F_S","F"
Drama_Extra_M_002,"","0","BaseBody_M_S","M"
Drama_Extra_F_006,"","0","BaseBody_F_T","F"
Drama_Extra_F_002,"","0","BaseBody_F_S","F"
Drama_Extra_M_003,"","0","BaseBody_M_T","M"
School_Extra_M_003,"","0","BaseBody_M_S","M"
School_Extra_F_005,"","0","BaseBody_F_S","F"
School_Extra_F_009,"","0","BaseBody_F_S","F"
School_Extra_F_006,"","0","BaseBody_F_T","F"
School_Extra_F_007,"","0","BaseBody_F_S","F"
Drama_Extra_M_004,"","0","BaseBody_M_S","M"
School_Extra_F_004,"","0","BaseBody_F_T","F"
School_Extra_M_002,"","0","BaseBody_M_T","M"
School_Extra_F_008,"","0","BaseBody_F_S","F"
School_Extra_M_001,"","0","BaseBody_M_S","M"
School_Extra_F_003,"","0","BaseBody_F_S","F"
Drama_Extra_F_004,"","0","BaseBody_F_T","F"
Drama_Extra_F_005,"","0","BaseBody_F_S","F"
Drama_Extra_F_007,"","0","BaseBody_F_S","F"
Drama_Extra_F_008,"","0","BaseBody_F_T","F"
Drama_Extra_F_009,"","0","BaseBody_F_T","F"
Drama_Extra_F_010,"","0","BaseBody_F_S","F"
Drama_Extra_F_011,"","0","BaseBody_F_S","F"
Drama_Extra_F_012,"","0","BaseBody_F_S","F"
Drama_Extra_M_005,"","0","BaseBody_M_T","M"
Drama_Extra_M_007,"","0","BaseBody_M_S","M"
Drama_Extra_M_008,"","0","BaseBody_M_T","M"
Drama_Extra_M_009,"","0","BaseBody_M_S","M"
Drama_Extra_M_010,"","0","BaseBody_M_S","M"
Drama_Extra_M_011,"","0","BaseBody_M_S","M"
Drama_Extra_M_012,"","0","BaseBody_M_S","M"
Drama_Extra_M_015,"","0","BaseBody_M_T","M"
Drama_Extra_M_016,"","0","BaseBody_M_T","M"
Drama_Extra_M_017,"","0","BaseBody_M_T","M"
Drama_Extra_M_019,"","0","BaseBody_M_T","M"
Drama_Extra_M_020,"","0","BaseBody_M_S","M"
Drama_Extra_M_021,"","0","BaseBody_M_S","M"
Drama_Extra_M_014,"","0","BaseBody_M_S","M"
Drama_Extra_M_022,"","0","BaseBody_M_S","M"
Drama_Extra_M_018,"","0","BaseBody_M_S","M"
Drama_Extra_M_013,"","0","BaseBody_M_T","M"
NPC_00092_F_1000,"","0","BaseBody_F_S","F"
NPC_00091_F_4000,"","0","BaseBody_F_S","F"
NPC_00090_F_4000,"","0","BaseBody_F_T","F"
NPC_00089_M_4000,"","0","BaseBody_M_S","M"
NPC_00088_F_2000,"","0","BaseBody_F_S","F"
NPC_00087_M_2000,"","0","BaseBody_M_S","M"
NPC_00086_M_1000,"","0","BaseBody_M_T","M"
NPC_00085_M_1000,"","0","BaseBody_M_T","M"
NPC_00084_F_1000,"","0","BaseBody_F_S","F"
NPC_00083_F_3000,"","0","BaseBody_F_S","F"
NPC_00082_F_1000,"","0","BaseBody_F_S","F"
NPC_00081_F_4000,"","0","BaseBody_F_S","F"
NPC_00080_M_4000,"","0","BaseBody_M_S","M"
NPC_00079_F_2000,"","0","BaseBody_F_T","F"
NPC_00078_F_1000,"","0","BaseBody_F_S","F"
NPC_00077_F_1000,"","0","BaseBody_F_S","F"
NPC_00076_M_3000,"","0","BaseBody_M_T","M"
NPC_00075_F_2000,"","0","BaseBody_F_S","F"
NPC_00074_M_1000,"","0","BaseBody_M_S","M"
NPC_00073_M_2000,"","0","BaseBody_M_S","M"
NPC_00071_M_1000,"","0","BaseBody_M_T","M"
NPC_00069_M_4000,"","0","BaseBody_M_T","M"
NPC_00068_F_1000,"","0","BaseBody_F_S","F"
NPC_00067_F_2000,"","0","BaseBody_F_S","F"
NPC_00066_F_2000,"","0","BaseBody_F_S","F"
NPC_00065_F_1000,"","0","BaseBody_F_S","F"
NPC_00064_M_1000,"","0","BaseBody_M_T","M"
NPC_00063_M_1000,"","0","BaseBody_M_T","M"
NPC_00062_M_4000,"","0","BaseBody_M_T","M"
NPC_00059_M_1000,"","0","BaseBody_M_T","M"
NPC_00058_M_4000,"","0","BaseBody_M_S","M"
NPC_00056_M_2000,"","0","BaseBody_M_T","M"
NPC_00055_F_4000,"","0","BaseBody_F_T","F"
NPC_00054_M_3000,"","0","BaseBody_M_T","M"
NPC_00053_F_1000,"","0","BaseBody_F_S","F"
NPC_00052_F_3000,"","0","BaseBody_F_S","F"
NPC_00051_F_2000,"","0","BaseBody_F_S","F"
NPC_00050_M_1000,"","0","BaseBody_M_T","M"
NPC_00049_F_2000,"","0","BaseBody_F_S","F"
NPC_00048_M_1000,"","0","BaseBody_M_S","M"
NPC_00047_F_4000,"","0","BaseBody_F_T","F"
NPC_00046_M_1000,"","0","BaseBody_M_S","M"
NPC_00045_F_1000,"","0","BaseBody_F_T","F"
NPC_00044_F_1000,"","0","BaseBody_F_S","F"
NPC_00043_M_2000,"","0","BaseBody_M_T","M"
NPC_00042_M_3000,"","0","BaseBody_M_S","M"
NPC_00041_M_1000,"","0","BaseBody_M_S","M"
NPC_00040_F_4000,"","0","BaseBody_F_T","F"
NPC_00039_F_3000,"","0","BaseBody_F_S","F"
NPC_00038_F_1000,"","0","BaseBody_F_T","F"
NPC_00036_M_3000,"","0","BaseBody_M_T","M"
NPC_00035_M_1000,"","0","BaseBody_M_S","M"
NPC_00034_F_1000,"","0","BaseBody_F_S","F"
NPC_00033_M_1000,"","0","BaseBody_M_T","M"
NPC_00032_F_2000,"","0","BaseBody_F_T","F"
NPC_00031_F_1000,"","0","BaseBody_F_S","F"
NPC_00030_F_3000,"","0","BaseBody_F_S","F"
NPC_00029_M_2000,"","0","BaseBody_M_T","M"
NPC_00028_M_3000,"","0","BaseBody_M_T","M"
NPC_00027_M_1000,"","0","BaseBody_M_S","M"
NPC_00026_F_3000,"","0","BaseBody_F_S","F"
NPC_00025_F_2000,"","0","BaseBody_F_T","F"
NPC_00024_F_1000,"","0","BaseBody_F_T","F"
NPC_00023_F_1000,"","0","BaseBody_F_S","F"
NPC_00021_M_4000,"","0","BaseBody_M_S","M"
NPC_00017_M_3000,"","0","BaseBody_M_T","M"
NPC_00016_M_2000,"","0","BaseBody_M_T","M"
NPC_00015_F_1000,"","0","BaseBody_F_S","F"
NPC_00093_F_4000,"","0","BaseBody_F_S","F"
NPC_00012_M_3000,"","0","BaseBody_M_S","M"
NPC_00010_M_2000,"","0","BaseBody_M_S","M"
NPC_00006_M_1000,"","0","BaseBody_M_T","M"
NPC_00005_M_1000,"","0","BaseBody_M_S","M"
NPC_00037_M_3000,"","0","BaseBody_M_T","M"
NPC_00019_F_2000,"","0","BaseBody_F_S","F"
NPC_00020_M_3000,"","0","BaseBody_M_T","M"
NPC_00018_F_3000,"","0","BaseBody_F_T","F"
NPC_00002_M_3000,"","0","BaseBody_M_S","M"
NPC_00013_F_2000,"","0","BaseBody_F_T","F"
NPC_00011_F_4000,"","0","BaseBody_F_T","F"
NPC_00009_F_2000,"","0","BaseBody_F_S","F"
NPC_00007_F_1000,"","0","BaseBody_F_S","F"
NPC_00004_F_3000,"","0","BaseBody_F_S","F"
NPC_00072_F_3000,"","0","BaseBody_F_S","F"
NPC_00070_F_1000,"","0","BaseBody_F_S","F"
NPC_00061_F_2000,"","0","BaseBody_F_S","F"
NPC_00060_F_3000,"","0","BaseBody_F_S","F"
NPC_00057_F_2000,"","0","BaseBody_F_S","F"
NPC_00022_F_1000,"","0","BaseBody_F_S","F"
NPC_00014_F_3000,"","0","BaseBody_F_S","F"
NPC_00008_F_4000,"","0","BaseBody_F_T","F"
NPC_00001_F_3000,"","0","BaseBody_F_S","F"
NPC_00003_F_2000,"","0","BaseBody_F_T","F"
